,00:00:00,00:15:00,00:30:00,00:45:00,01:00:00,01:15:00,01:30:00,01:45:00,02:00:00,02:15:00,02:30:00,02:45:00,03:00:00,03:15:00,03:30:00,03:45:00,04:00:00,04:15:00,04:30:00,04:45:00,05:00:00,05:15:00,05:30:00,05:45:00,06:00:00,06:15:00,06:30:00,06:45:00,07:00:00,07:15:00,07:30:00,07:45:00,08:00:00,08:15:00,08:30:00,08:45:00,09:00:00,09:15:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00
0,0.48299593,0.45849097,0.46308273,0.45021713,0.4494713,0.44688648,0.45116383,0.44568694,0.43205917,0.43375885,0.42888588,0.43376607,0.42935306,0.43540907,0.43272594,0.43726504,0.43231267,0.43372613,0.43079013,0.430606,0.43345118,0.4559626,0.4546385,0.45687902,0.45548344,0.4568289,0.46215802,0.45815685,0.45373034,0.45431542,0.4544419,0.4408428,0.4511184,0.45137152,0.4387735,0.4412387,0.45610338,0.43028238,0.38576022,0.3741893,0.3620047,0.3409387,0.31763244,0.29318053,0.27478462,0.24971177,0.24354455,0.20941241,0.18752262,0.16930272,0.19612515,0.30346477,0.28143436,0.25415567,0.18947822,0.16516358,0.14607951,0.16679333,0.20041019,0.2581652,0.3089532,0.38553178,0.21098667,0.21453874,0.4511055,0.606887,0.54711723,0.33554956,0.36647305,0.604205,0.6490766,0.65823126,0.63631546,0.6549978,0.6654073,0.64329815,0.57227105,0.5994313,0.6278063,0.7294489,0.7268442,0.7643207,0.7737706,0.65246487,0.6384104,0.6891329,0.68238837,0.6715925,0.66409177,0.5928229,0.5454327,0.5756884,0.6687212,0.6561137,0.6153692,0.6143426
1,0.61722594,0.6088449,0.6027407,0.5473251,0.4990356,0.47181678,0.4680939,0.4644115,0.46551803,0.4315129,0.42888993,0.43111822,0.43048328,0.42745256,0.4285829,0.42564368,0.42916697,0.43210018,0.43337348,0.4307573,0.42333394,0.41840944,0.416884,0.4183826,0.4162954,0.41641656,0.4157451,0.4173664,0.41876182,0.4129593,0.4150105,0.41466722,0.41499802,0.41647562,0.4173659,0.41458657,0.41552097,0.41704792,0.41849494,0.4067483,0.39814883,0.3880029,0.36298722,0.35859796,0.36315954,0.35103402,0.34336656,0.34144434,0.30654308,0.3040304,0.29345328,0.28179175,0.24038428,0.2991528,0.20050812,0.23338096,0.31615967,0.26826572,0.28642523,0.2622249,0.13691819,0.20475319,0.20373389,0.21758853,0.30359125,0.2967042,0.26991284,0.26750803,0.3096941,0.26904848,0.28442633,0.4560814,0.531502,0.537125,0.45951086,0.45309722,0.6508181,0.7010627,0.7000296,0.53000677,0.5769247,0.63540286,0.6239133,0.60218424,0.5293722,0.5466227,0.5916585,0.64114714,0.5879371,0.5894416,0.56479883,0.5192864,0.5160913,0.51607573,0.5139186,0.49713987
2,0.49298948,0.51457983,0.48048574,0.47528878,0.473202,0.47300723,0.47483328,0.45406252,0.41862214,0.41630143,0.41973948,0.41921443,0.41655982,0.41859397,0.41927496,0.4208554,0.4187164,0.41807187,0.41491437,0.414106,0.41300705,0.4148988,0.4143616,0.4143437,0.41308385,0.4102425,0.4093421,0.41350043,0.41602904,0.4150035,0.41512787,0.40792647,0.4111608,0.41334233,0.41302362,0.41303107,0.41561973,0.40353876,0.38530645,0.3736159,0.3660845,0.343424,0.32058808,0.30028102,0.27458188,0.25226912,0.22750601,0.20879051,0.19406956,0.16819131,0.17223181,0.19010626,0.17993811,0.17076592,0.17767985,0.24946144,0.23400208,0.28055298,0.31816655,0.475547,0.29518822,0.18822494,0.35991836,0.2830676,0.22971511,0.35364577,0.30404276,0.28542826,0.34908718,0.4585276,0.44610167,0.4108643,0.5122332,0.5769488,0.599173,0.6135257,0.5771471,0.65497875,0.6585616,0.6669158,0.70549107,0.6907623,0.6724066,0.65830743,0.67280495,0.66462505,0.63623464,0.6475666,0.59949446,0.55161357,0.5455997,0.5465188,0.54369557,0.5380923,0.5079452,0.46503174
3,0.4699124,0.46209854,0.46406022,0.4583531,0.4306857,0.42017806,0.42232355,0.42947102,0.4250752,0.42126587,0.4234425,0.42455894,0.42563435,0.4203569,0.41737044,0.41696224,0.42198086,0.42358765,0.4199111,0.42207873,0.4175087,0.41753832,0.42025545,0.41967192,0.42221466,0.42161977,0.4198424,0.41713274,0.41769096,0.41963682,0.41792175,0.41940802,0.41929138,0.41742188,0.41733754,0.4194783,0.42189583,0.4191623,0.3971085,0.38501883,0.37718925,0.37715167,0.3764763,0.35756946,0.34039766,0.32614398,0.2742494,0.25687373,0.3249539,0.34500152,0.3690231,0.40019044,0.40794963,0.34239253,0.33619452,0.26309234,0.50589174,0.5103228,0.4327142,0.3979881,0.39276463,0.37075946,0.37592947,0.40550578,0.29112372,0.41762564,0.37029672,0.42737603,0.37167287,0.35310245,0.27360994,0.3377353,0.35280186,0.32328075,0.353891,0.4272788,0.5732155,0.5293033,0.52808577,0.53047353,0.562764,0.55644906,0.54787135,0.55986047,0.6239201,0.6889436,0.6967319,0.6941023,0.6788572,0.67706084,0.66886854,0.54453087,0.4903676,0.4873907,0.49277994,0.49357018
4,0.48369074,0.4838136,0.44370604,0.4290706,0.4299076,0.43208772,0.42923695,0.42333126,0.42734408,0.426525,0.42529702,0.426655,0.4297783,0.42572457,0.42250106,0.42580956,0.42902505,0.4146341,0.40993083,0.40877834,0.40979272,0.41495073,0.41503084,0.41049105,0.41118467,0.40933478,0.40825823,0.40864265,0.41065803,0.41424018,0.4135259,0.41117156,0.41404167,0.4090062,0.4085552,0.4111712,0.41321465,0.41056326,0.38995168,0.37205306,0.35847223,0.35501933,0.35957283,0.36351207,0.47051066,0.44037908,0.370723,0.37635916,0.36161935,0.33660537,0.32821923,0.37286663,0.3893685,0.37489665,0.3761611,0.34805036,0.29810745,0.31767467,0.34694025,0.39875224,0.4139352,0.36792955,0.4443031,0.38712913,0.34754696,0.28245905,0.3823241,0.3902772,0.35987616,0.51584846,0.5864748,0.5320803,0.5811068,0.4640764,0.6119027,0.58899564,0.5565497,0.5471156,0.5115689,0.5249109,0.5055176,0.49480814,0.53919315,0.5354534,0.541594,0.5681913,0.5503875,0.5037972,0.51482624,0.51303756,0.49815017,0.48210454,0.47195613,0.46430865,0.6576457,0.7167486
5,0.41718832,0.41388196,0.4119772,0.41303656,0.41103953,0.4078739,0.4145496,0.40980697,0.40558672,0.4081971,0.40968043,0.41188246,0.41169077,0.4058479,0.41023022,0.4070211,0.41244572,0.40996644,0.41305757,0.41089326,0.40916425,0.4115392,0.40889123,0.41486156,0.41149417,0.41073102,0.411381,0.41029188,0.40838856,0.40825194,0.4085508,0.4073548,0.40506667,0.40871966,0.40805042,0.40871206,0.40889332,0.39560753,0.37497655,0.3686351,0.35871655,0.31877553,0.30091557,0.28448164,0.25889888,0.2388467,0.21138054,0.1804446,0.15935108,0.1430033,0.12275839,0.108190715,0.12179136,0.0965935,0.0936261,0.08108434,0.073892966,0.073872596,0.076055095,0.07076907,0.070620224,0.06454107,0.09877087,0.15493299,0.1924093,0.11511068,0.1235524,0.13100497,0.21519867,0.27887836,0.378774,0.40913266,0.35645533,0.22788548,0.34415734,0.31500238,0.26082328,0.45734558,0.41737857,0.45736608,0.4556031,0.44574863,0.46649212,0.49949193,0.47392446,0.4537699,0.45061678,0.43891415,0.4323647,0.4606004,0.5164475,0.5114722,0.4948926,0.49529895,0.48735797,0.4663527
6,0.46732244,0.44077492,0.4131347,0.41646916,0.409209,0.41426522,0.41006747,0.41678217,0.41262496,0.40844887,0.41026527,0.4139217,0.41351318,0.40902317,0.40671784,0.4127078,0.41168928,0.41157377,0.41033265,0.40955234,0.4083896,0.41166568,0.41442305,0.4098562,0.40661734,0.40664235,0.4063576,0.40746012,0.40939426,0.40635046,0.40520182,0.40517968,0.4050793,0.410523,0.40948984,0.40774396,0.40374288,0.40770245,0.38470697,0.37503207,0.3615868,0.32934216,0.30940524,0.28975862,0.26294595,0.23453057,0.20659074,0.18825497,0.16416655,0.14444864,0.12318365,0.1080863,0.09481248,0.08987537,0.07503116,0.062153816,0.05844599,0.04208681,0.043835163,0.073292494,0.044024438,0.09134488,0.04472837,0.047123373,0.10624224,0.102400735,0.21479712,0.13417621,0.21961197,0.18126218,0.1483762,0.25161922,0.24663387,0.26333433,0.2555491,0.30428421,0.28385922,0.29173782,0.31260952,0.33170477,0.34455368,0.3687139,0.3970757,0.39735013,0.41263077,0.43219084,0.43141848,0.43590707,0.45820808,0.4611411,0.46058446,0.46066326,0.45770618,0.4555126,0.4601063,0.46090555
7,0.4563115,0.43610567,0.41649404,0.41509998,0.41690475,0.4156018,0.41306984,0.41231897,0.41270933,0.41421813,0.41488445,0.40980166,0.41145897,0.40841815,0.4154485,0.41229165,0.40976155,0.41034576,0.41246375,0.40988603,0.41071466,0.41203174,0.41655993,0.41194046,0.40896073,0.41036296,0.4093897,0.40843257,0.40848392,0.40949598,0.41017628,0.40992445,0.40797466,0.4049203,0.40788147,0.41154265,0.41067868,0.40449995,0.3871478,0.37752044,0.3609407,0.33771214,0.3159036,0.2838594,0.2620914,0.23629245,0.21635886,0.19105744,0.16672368,0.14463907,0.12603855,0.11076693,0.098650396,0.084245935,0.06737596,0.057819277,0.06052777,0.049782068,0.040195376,0.09828514,0.1032836,0.14787313,0.06571922,0.12587549,0.10422994,0.09653038,0.09965901,0.1297427,0.12283848,0.14149988,0.15929133,0.18851131,0.18035585,0.20728517,0.30802596,0.24567983,0.26545644,0.37358174,0.36603767,0.32722622,0.3896862,0.38594413,0.396544,0.3941044,0.4059891,0.41771019,0.4179877,0.41492334,0.41480464,0.41390574,0.41410056,0.41743028,0.41633332,0.41377386,0.4113276,0.4132535
8,0.41632026,0.41430092,0.4139539,0.41045395,0.4079041,0.41124883,0.41214612,0.4122651,0.4113821,0.40717626,0.4100212,0.41200942,0.4076847,0.40758243,0.40467164,0.4092772,0.41054317,0.4058055,0.40583283,0.40629888,0.4091856,0.4091569,0.40472305,0.4050282,0.40646413,0.40652376,0.40745735,0.40499914,0.4052979,0.40773594,0.40342206,0.4050678,0.40467313,0.4061194,0.4068328,0.4106092,0.40730166,0.40404952,0.3807563,0.37987998,0.35569948,0.3298611,0.31337002,0.2829869,0.26728618,0.23891675,0.21327136,0.18798125,0.16193128,0.14912672,0.12394498,0.10853736,0.09536494,0.08374423,0.07487166,0.06283176,0.057277724,0.049105793,0.038075536,0.031435996,0.025016934,0.031774104,0.21789336,0.076147586,0.059043378,0.06865728,0.07639697,0.17614174,0.083700895,0.109164864,0.13495484,0.17150773,0.17548338,0.21314836,0.22415024,0.24535,0.26768637,0.2912458,0.32695493,0.3623924,0.3508353,0.38096592,0.39858234,0.40365016,0.41242683,0.43101054,0.43208712,0.42950088,0.4338453,0.42862836,0.4212058,0.4231128,0.4215485,0.4176404,0.41499904,0.41836622
9,0.4200512,0.4190704,0.4168778,0.41425896,0.4126005,0.41394246,0.41192126,0.4084155,0.410836,0.4076174,0.41027483,0.41264397,0.4061938,0.4103096,0.4049855,0.41257477,0.4077346,0.4092431,0.40986854,0.4070353,0.41285467,0.41099727,0.40701866,0.40409553,0.40448812,0.41140395,0.408158,0.40548074,0.40370205,0.4045896,0.4059289,0.4064525,0.40365916,0.40576276,0.4029047,0.40739378,0.40675434,0.40433943,0.3796805,0.37275136,0.36319715,0.32752192,0.31166402,0.2871322,0.25930348,0.23531109,0.21191347,0.18542835,0.16459583,0.1439739,0.12810916,0.112751484,0.09338564,0.08919196,0.0752234,0.07652736,0.06843707,0.043174148,0.046772987,0.049385905,0.031041384,0.13596338,0.012019515,0.2424482,0.025883585,0.23465344,0.31135482,0.28126356,0.08769804,0.11885014,0.27065063,0.2546793,0.31375146,0.22312473,0.32519016,0.33509994,0.28106084,0.28743312,0.31581694,0.33311793,0.35032693,0.3799122,0.38802934,0.38827333,0.4044907,0.41853952,0.41869807,0.41884696,0.4151077,0.41252896,0.4180023,0.41818756,0.41874677,0.42005253,0.41964865,0.4158694
